Hx=0,1,,2,,3,,4,,5
-0.012,-1.350395,-0.012,1.593787,-0.008,1.58987,-0.004,1.63765,0.028,1.65106
-0.014,-1.347042,-0.013,1.596022,-0.01,1.58596,-0.006,1.638768,0.03,1.6329
-0.016,-1.346484,-0.014,1.595184,-0.012,1.58736,-0.008,1.639047,0.032,1.63067
-0.018,-1.341734,-0.015,1.596581,-0.014,1.5882,-0.01,1.639047,0.034,1.63737
-0.02,-1.316589,-0.016,1.596023,-0.016,1.58736,-0.012,1.63793,0.032,1.65413
-0.022,-1.298708,-0.017,1.598258,-0.018,1.58205,-0.014,1.63765,0.024,1.61753
-0.024,-1.27524,-0.018,1.597979,-0.02,1.57032,-0.016,1.638209,0.01,1.41442
-0.028,-1.238082,-0.019,1.586803,-0.022,1.56138,-0.018,1.633739,0.012,1.41414
-0.032,-1.233612,-0.02,1.588479,-0.024,1.53763,-0.02,1.606079,0.014,1.416096
-0.03,-1.234035,-0.021,1.621168,-0.026,1.389,-0.022,1.609711,0.016,1.414978
-0.028,-1.23892,-0.022,1.571716,-0.028,1.44627,-0.024,1.584007,0.018,1.41889
-0.026,-1.269094,-0.023,1.534278,-0.03,1.4513,-0.026,1.531483,0.02,1.499633
--,--,-0.024,1.518073,-0.034,1.44962,-0.028,1.456327,0.022,1.527571
--,--,-0.025,1.35519,,,-0.034,1.381731,0.024,1.596301
--,--,-0.026,1.347367,,,-0.032,1.375305,,
--,--,-0.027,1.454093,,,-0.03,1.378658,,
--,--,-0.028,1.45102,,,-0.028,1.434256,,
--,--,-0.029,1.513882,,,,,,
--,--,-0.03,1.475327,,,,,,
--,--,-0.031,1.457446,,,,,,
--,--,-0.032,1.471136,,,,,,
--,--,-0.033,1.47393,,,,,,
--,--,-0.034,1.426434,,,,,,
